0,1,2,3,4,5,6,7
1323,56,357,16,44,35,136,31
82,1123,200,9,56,17,78,1
228,53,1108,14,11,12,13,1
2,2,6,861,2,0,0,63
166,81,43,8,1122,585,115,22
43,19,17,7,203,1053,166,13
122,1,5,0,48,197,1327,1
50,0,3,50,12,5,23,622
