0,1,2,3,4,5,6,7
1228,61,381,19,71,27,159,52
62,1064,221,20,66,13,106,14
254,52,1078,16,12,11,14,3
0,5,2,840,0,0,0,89
108,101,51,24,1129,509,130,90
30,24,12,20,190,1104,100,41
89,3,7,4,55,253,1273,17
40,0,9,38,8,2,27,641
