0,1,2,3,4,5,6,7
1507,40,221,17,92,10,58,53
119,1023,211,15,150,7,36,5
348,53,956,24,18,16,2,23
2,0,0,852,3,0,0,79
207,72,25,14,1538,169,79,38
70,13,6,10,426,784,180,32
201,14,2,1,112,150,1206,15
64,0,4,47,19,2,7,622
