0,1,2,3,4,5,6,7
1457,37,275,31,74,21,69,34
122,1022,195,23,113,16,69,6
270,42,1056,34,13,11,13,1
1,1,2,885,2,0,0,45
189,50,28,18,1321,430,76,30
66,12,4,11,255,1031,123,19
175,0,2,0,74,209,1234,7
57,0,0,87,13,3,18,587
