0,1,2,3,4,5,6,7
1402,48,283,10,44,52,137,22
96,1125,162,6,62,21,94,0
284,54,1057,8,10,12,15,0
7,6,5,847,4,0,0,67
174,79,33,6,1083,624,130,13
54,19,10,3,192,1072,167,4
129,0,2,0,42,204,1324,0
57,0,1,43,16,15,28,605
