0,1,2,3,4,5,6,7
1119,63,428,5,108,34,159,82
46,945,353,0,152,20,45,5
168,50,1161,5,6,27,4,19
3,10,10,745,10,1,0,157
68,42,60,1,1460,339,126,46
26,23,25,2,330,966,132,17
92,6,10,0,121,225,1236,11
18,0,10,44,11,1,25,656
