0,1,2,3,4,5,6,7
1444,75,202,50,44,18,117,48
180,1031,181,39,81,14,38,2
433,78,883,19,3,17,5,2
6,2,0,904,1,0,1,22
230,103,18,70,1072,490,107,52
66,32,2,14,186,962,246,13
227,1,0,8,67,159,1225,14
69,0,0,65,2,0,9,620
