0,1,2,3,4,5,6,7
1330,54,272,51,62,37,153,39
133,1102,114,27,76,30,81,3
294,65,1005,23,19,24,10,0
0,2,5,859,0,0,0,70
127,127,31,18,1136,526,145,32
33,25,31,15,179,991,228,19
113,5,21,3,55,148,1351,5
39,0,3,46,14,13,30,620
