0,1,2,3,4,5,6,7
1514,48,245,6,59,22,84,20
121,1115,142,6,85,14,83,0
341,50,1006,7,12,11,13,0
14,5,5,857,5,0,0,50
208,66,30,7,1246,473,100,12
77,18,8,3,224,1005,183,3
164,1,1,0,62,184,1289,0
79,0,5,43,19,9,22,588
