train_loss,train_acc,val_loss,val_acc
1.0625858841490408,0.6057930588722229,0.9975797735692884,0.6745380759239197
0.2988772002000238,0.8964270949363708,1.1419531528487405,0.6867180466651917
0.1427962466990531,0.9516728520393372,1.2552243568598092,0.6955008506774902
0.09017503847063506,0.9705700278282166,1.3583941931053714,0.7032893896102905
0.07606915762467019,0.9750619530677795,1.4381738887540287,0.6924351453781128
0.0361158805441385,0.989208996295929,1.3720723268197064,0.7119894027709961
0.024639213838949976,0.9930813908576965,1.3527126253331117,0.7142265439033508
0.01843888653161984,0.9945270419120789,1.4006856451016416,0.7101665139198303
0.01643522395625472,0.9955596923828125,1.4321248286577233,0.7075151205062866
0.02184841515244232,0.995508074760437,1.476504036002286,0.7055265307426453
